paper_id,paper_title,abstract,type,pubmed_id
53,"Affective Virtual Reality Gaming for Autism","Emotional impairment is one of the common symptoms of many mental diseases. Being able to learn the emotional reactions from subjects using nonintrusive human-computer interactions (HCI) would provide a novel and efficient approach to assist existing intervention and therapy. Psychologists conducted research using virtual reality (VR) as a tool for exposure starting from decades ago. However, early VR equipment was cumbersome in size and inefficient, which can only be used to simulate limited scenes, such as car driving and phobia scenarios. With the evolution of affordable and portable VR hardware, we are now able to design systematic VR games that can precisely control variables for different stimuli and testing cases. Furthermore, the VR nowadays can serve not only as exposure methods, but also real games that seamlessly and nonintrusively interact with users. The experience of immersion and presence has made VR naturally suitable for triggering strong emotions. Moreover, the study of affective computing, known as the study and development of systems and devices that can recognize, interpret, process, and simulate human affects, is a trendy and challenging topic in HCI field. Given current research and potential development, affective computing is seeking to develop emotional intelligence in machines. Integrating the concept of affective computing into game design and development will lead to a new type of serious games that interact with users emotions. This chapter reviews the methodologies commonly used in affective computing and related research projects using VR exposure as an intervention for people with special needs. It also describes a series of studies conducted to collect and analyze data. Our goal is to propose a game framework that recognizes users emotional reactions in a multimodal approach, which, with ideal expectation, adapts according to the fluctuation of the users emotional states dynamically. The system provides a guideline for affective gaming design for mental healthcare purposes. The application of the framework is to assist in intervention for autistic spectrum disorder and can be extended to other emotion-related mental illness.",NULL,NULL
54,"ADDventurous Rhythmical Planet: A 3D Rhythm-Based Serious Game for Social Skills Development of Children with ADHD","Children diagnosed with ADHD are often at a disadvantage regarding their social interactions at school and at play due to their symptomatic inattention, impulsivity and hyperactivity. That may lead to isolation, low self-esteem and even depression. Music is shown to significantly help children maintain focused attention as well as offer a timed structure around their actions, involving melody and tempo. Music can also aid the development of cognitive ability, self-confidence and promote limits and rules. Through music, children can learn how to control their impulsivity, learn to pause and wait for their turn and apply such social skills to their every-day life. This paper presents a multimodal 3D serious game named ADDventurous Rhythmical Planet. Its goal is to exploit the benefits of music and rhythm helping children diagnosed with ADHD to overcome their psychosocial challenges, unlike currently available games offering interaction based on only the visual modality.",NULL,NULL
55,"Gamification Design on Popular Science Education for Children with Hemopathy Based on Serious Game Theory","The causes of children with hemopathy are complex and the conditions are varied. It is difficult for children and their families to recognize the diseases. Meanwhile, due to the weak self-control ability, children will have negative emotions such as fear, loneliness, pain during hospitalization. Gamification is considered to be an effective way to promote changes in mood, attitude and behavior. Therefore, in order to solve disease cognition problems in children and reduce their negative emotions, the gamification design method of serious game theory will be applied to the popular science education of children with hemopathy to design a gamification education software. A combination of methods, including questionnaire and interview method, literature search method and story telling will be adopted in this design to have an in-depth understanding of gamification design, children with hemopathy, childrens game design, popular science education and other aspects, and to determine the software framework, game mechanics and educational content. The software is mainly composed of 5 layers including task, game, Q&A, science education and situation recording. Among which the game layer contains four different types of game modules which involve the knowledge of hemopathy, treatment process and living habits, etc. This design will gamify popular science cognitive education through motivation, reward, achievement and other elements, so as to achieve childrens systematic knowledge of hemopathy, reduce their negative emotions, and improve treatment adherence. The effectiveness of the software needs to be further tested.",NULL,NULL
56,"A Wolf, Hyena, and Fox Game to Raise Cybersecurity Awareness Among Pre-school Children","Currently, children have a greater exposure to cyberspace and cyber threats than any previous generation. Digital technologies are evolving continuously with the result that cell phones, tablets and similar devices are more accessible to both young and old. Technological advancements create many opportunities, however it also exposes its users to many threats. Pre-school children are especially vulnerable to these threats, as they are rarely made aware of, or empowered to defend themselves against these threats. An approach to solving this problem is to create a mobile serious game that promotes cybersecurity awareness among pre-school children. The focus of this paper is the part of the game that promotes the use of strong passwords and not sharing these passwords with ones friends.",NULL,NULL
57,"Translating Models into a Game Design","Authors aim at showing how abstract notions can be translated to game elements without losing their meaning. Authors provide a detailed explanation of the process of translating models of real-life systems into rules and elements of a board game. Furthermore, the authors provide a state-of-the-art on overview of board games that deal with sustainability issues, focusing on their advantages and disadvantage that were identified based on the past research on serious games.",NULL,NULL
58,"Natural Language to Facilitate the Analysis of Statistical Evaluation of Educational Digital Games","The application of educational digital games (EDG) requires multiple perspectives for an optimal adaptation. This study shows how relevant feedback is presented in simple outcome reports of EDG-based learning for teachers and parents in Natural Language (NL). NL as a Machine Learning process also can represent quantitative data sets in consumable Spanish language statements. The objective is to improve outcomes of EDG platforms using a cloud-based dashboard used to evaluate student EDG application behavioral efficiency. A novel tool is proposed to provide simple language explanations rather than statistical representations of feedback to parents and teachers in marginal areas of developing economies. With fuzzy logic, the researchers present verbatim explanations of student behavior towards educational EDG. Results reveal comprehensive, simple, or colloquial Spanish language information for parents and teachers to provide improved evaluation keys to enhance student learning via EDG related to the school curricula.",NULL,NULL
59,"Serious Games as Assessment Tools: Visualizing Sustainable Creative Competence in the Field of Retail","Serious games are garnering popularity in learning environments and as assessment tools. We propose a summative assessment of a serious game as an assessment tool by merging assessment standards with serious game mechanics. To this end, we apply instructional design components with a focus on the evidence-centered game design approach (ECgD). Simultaneously, we introduce a different approach to game design and the traditional chain of effects toward competence assessment. Our leading questions are: how can the competences be operationalized and translated into game mechanics? Through which serious game mechanics can we prompt players to act in typical domain-specific situations and show their sustainable creative competence? How and through which statistical models can we match the observed competence of players with the intended competence model formulated a priori? To answer these questions, we developed the domain-specific serious game MyBUY to assess the sustainable creative competence (SC competence) of young adults in Vocational Education and Training in the field of retail and sales. By matching the intended competence (theoretical model) while playing the serious game with the SC competence (empirical model), we found that the models were highly compatible. Further confirmation is given by the results of questionnaires on usability, cognitive load, and motivation. Our results affirm the need for future studies to apply our algorithm to design domain-specific serious games as competence assessment tools and extend data collection and data analytics procedures in longitudinal studies.",NULL,NULL
60,"Defining the Mechanisms for Engagement Design Protocol Towards the Development of Analogue and Hybrid Serious Games: Learning from FlavourGame","There are no perfect recipes to develop a game, even less for creating an effective serious game. Nevertheless, it is crucial to employ methods and protocols to that ensure certain criteria and goals are met during their development. For that intention, we propose the Mechanics for Engagement Design Protocol (MEDP), a procedure that emerges from the need to consider the mechanisms explored through the Design, Play and Experience (DPE) frameworks dimensions to meet a serious games goals, while considering the player profiles according to the Engagement Model. This protocol was implemented and tested during the development of FlavourGame (FG), a serious game that aims to promote discussion and awareness about nutrition for children. The exploration and testing process also allowed to support the MEDP for other serious game projects, as well as to consider the state of the art of current analogue and hybrid games related to food, the theme of FG.",NULL,NULL
61,"An Authoring Tool to Engage Younger Audiences in the Development of Nature Preservation Games: The G4N Toolkit to Game Design","Although research indicates that integrating students as active agents in the development of games encourages awareness and learning by doing and can be seen as a basis for the development of critical thinking skills, it also stresses that there are some obstacles in involving students to explore educational contents through digital game design. This paper introduces the Gamers4Nature toolkit to Game Design and its use by upper-secondary (N=53) and undergraduate (N=114) students along several game design sessions addressing an environmental preservation theme. As result of these sessions, 66 prototypes of digital games were produced. The toolkit was used through questionnaires applied by the end of the game design sessions. Results indicate that the Toolkit was a very useful resource in scaffolding the narrative construction process and that its resources are adequate to be used by for both upper-secondary and undergraduate students, and that it can be seen as a valuable resource to support educators and trainers in educational and serious game design activities.",NULL,NULL
62,"Designing IVR Serious Games for People with ASD","This paper aims to articulate and discuss the problem statement, motivations, goals, challenges, and preliminary results of an ongoing doctoral research project. We would argue the serious games potentiality as TEL-solutions for autistic people, especially if these adopt immersive virtual reality technology; on the other hand, we would like to point out critical issues hidden in existing design approaches found in the related literature. We present an overview of the adoption of serious games and immersive virtual reality technology in the autism spectrum disorder domain; the goal of the research is then framed starting from the literature evidence. Moreover, the current status of the project is presented and finally, we will describe the future direction of the PhD project.",NULL,NULL
63,"Design and Evaluation of a Serious Game to Supplement Pupils Understanding of Molecular Structures in Chemistry","This study is initial experiences in the design and evaluation of a serious game to supplement pupils understanding of molecular structures in chemistry. 27 pupils were included in the study, aged 1314, with 16 boys and 11 girls. All participants were recruited from two chemistry classes at a Danish elementary school in Copenhagen. A formative evaluation consisted of both a questionnaire, observations, and interviews. The questionnaire was inspired by the User Engagement Scale (UES) short-form. Designing a serious game for pupils with the aim to increase the understanding of molecular structures, is not an easy task. This serious game was to some extend able to engage the pupils within the subject of chemistry. The game itself was reported to be very engaging, but the specific learning outcomes remains uncertain. We can conclude that the serious game was visually appealing, the pupils were absorbed in the game, and wanted to continue playing. However, the designed serious game was also a bit confusing and made too difficult, resulting in frustrations for the pupils. Further, there are still some important challenges in how to increase the validity and reliability when evaluating serious games with children and adolescent as the users.",NULL,NULL
64,"A Review of Indie Games for Serious Mental Health Game Design","Mental health disorders present a global challenge being the largest contributor to non-fatal burden of disease. In fact, those who are experiencing symptoms of mental illness often wait ten years before seeking help. This is frequently due to help-seeking barriers such as stigma and cost. One way to combat help-seeking barriers is through increasing the mental health literacy of the public. This has been achieved successfully through digital delivery of mental health information and services, including serious games. Early research suggests that serious games are an effective tool for improving mental health literacy. However, factors such as poor-quality game design and research studies mean that developers face challenges when designing, developing, and analyzing serious games. To address these challenges this paper will provide an analysis of indie games that feature topics of mental health, trauma, and grief. Indie games share similarities to research environments, often being created by small teams on a limited budget. Even with these limitations they can tell impactful and emotional stories, making them a valuable source of inspiration for developers of serious mental health games.",NULL,NULL
65,"Proposal for a Serious Game to Assist in the Daily Care of Children with ASD Before Covid-19","Autism Spectrum Disorder (ASD) is a condition of neurodevelopment characterized by changes in social communication, restricted interests, and repetitive behaviors. Many children with ASD need different types of intervention (behavioral, language, social, occupational, among others). Since the appearance of Covid-19 in December 2019, a state of world pandemic has been established. In Brazil, it started in March 2020. The lives of millions of people in the country have been drastically changed: schools have closed in their face-to-face mode, people began to leave home only in extreme need, and health care was changed to the virtual model. Children with autism had their appointments reduced or canceled and, after a few months, changed to an online version. The use of masks has become mandatory throughout the country. These children now need to live in a different environment than they did a long time ago. It becomes, for example, more difficult for them to understand what people say due to the use of masks. Thus, this project aims to present a serious game in which the child can train his/her ability to understand the words now spoken by people using a face protection mask, without the possibility of the visual feature of the facial face mimic. The game was validated by nine speech therapists and, subsequently, by fourteen children diagnosed with ASD who already do speech therapy sessions online. It happened during one of the sessions. Then, both groups answered a satisfaction questionnaire conducted by the speech therapist, adapted to their characteristics.",NULL,NULL
66,"Serious Games to Support Agile and Lean Methodologies","Higher education prepares learners for their future role as professionals and active citizens by building field specific knowledge as well as soft, transversal skills. It further prepares students to effectively transition from the educational environment into the professional world, to become productively integrated into the professionally community, and to adapt to market-driven processes. To effectively facilitate this transition, higher education offerings must expose students to industry processes rather than be limited to the development of theoretical knowledge. This exposure may be achieved to a certain degree through specific courses; more effectively, it may be achieved through the integration of hands on activities into curricula that challenge students to use new skills and competencies in an environment that simulates the way industry deploys knowledge. This work presents the LEAP learning intervention towards building experience among higher education engineering students on emerging lean and agile industry practices. This is pursued through the design and implementation of serious games that allow students to build experience on the benefits of lean and agile design in broad engineering scenarios that go beyond the sectors in which these methods were originally introduced.",NULL,NULL
67,"Virtual Pink Dolphins and Lagoon","Children including those with autism spectrum disorders (ASD) Autism Spectrum Disorders (ASD) like to play with pets Pets . Dolphin-assisted therapy (DST) Dolphin-Assisted Therapy (DST) as one type of pet-assisted therapy Pet-assisted therapy is already introduced to help children with ASD Children with ASD . However, DST is fairly costly. Given a large number of children with ASD interested in DST, it is difficult to have sufficient dolphins Dolphins available to provide the service. Despite popular among children with ASD, DST Dolphin-Assisted Therapy (DST) is often criticized by animal rights organizations. Sometimes, it can also become challenging to use the captive dolphins Dolphins for therapeutic purposefor those weak children with ASD. The aim of this research work is to develop an innovative solution for virtual pink dolphin-assisted therapy Virtual pink dolphin-assisted therapy for children with ASD Children with ASD . As species endangered, pink dolphins Pink dolphins are extremely well received by children. This chapter presents a serious game Serious game for children with ASD Autism Spectrum Disorders (ASD) to play with virtual dolphins Virtual dolphins and improvetheir communication Communication and learning Learning . The focus ofthis work, however, will be on the object modeling Object modelling and design of virtual pink dolphin Virtual pink dolphin serious game, including concept design Concept design , texturing Texturing , and animations Animations with some cases analysis Analysis . The pink dolphin Pink dolphins serious game Serious game is designed for single player.",NULL,NULL
68,"The App Magic House: Assessing Updating in Young Children","Several cognitive assessment tools have been developed to measure Executive Functions in pre-schoolers, most of them in an analogue form. Since specifically developed apps would allow the assessment to be more accessible, valid, and fun for young children, The Magic House app was implemented. The app offers a simple game to measure updating , one of the Executive Functions. A first test was performed involving a small sample of 6177months old children. Results show that the internal consistency is acceptable. Non-significant differences related to gender and younger (6170months old) and older (7177months old) children were found. Furthermore, a comparison with a previous analogue version of the same task was done showing that children performance were better in the analogue version. This may also be due to the difference between actively interacting with virtual objects in a bidimensional world, from playing with real toys.",NULL,NULL
69,"Serious Games for Peace Process Support in Yemen: Managing a Multicultural Team in a Fragile Context","The chapter starts by giving a short overview of the conflict in Yemen and the project Peace Process Support for Yemen by the Deutsche Gesellschaft fr Internationale Zusammenarbeit (GIZ) GmbH that is co-financed by the Federal Ministry for Economic Cooperation and Development (BMZ) and the European Union (EU). Next to the methods used in this project there will be some insights about the results of the Serious Games series Arabia Felix and interlinked activities. The lessons learned from the project lead to a model to create Serious Games in cross-cultural and fragile contexts, with a special focus on impact measurement. The model can be applied in upcoming projects of international cooperation or similar projects conducted by cross-cultural teams.",NULL,NULL
70,"Design of a Serious Game for Enhancing Money Use in Teens with Autism Spectrum Disorder","People with Autism Spectrum Disorder (ASD) show often substantial difficulties to understand the concept of money and how to manage it. The majority of them are not independent, even for the most basic financial activities. In this paper, we illustrated the design of a serious game (SG), UReka , for teens with ASD to train skills useful to recognize and discriminate Euro coins and banknotes and to use them in real-life situations. We followed SGs frameworks for people with ASD and we adopted a participatory design, involving a multidisciplinary team. We included a short version of our game design document to explain how serious contents, game elements, and needs of the players with ASD were balanced in our SG. UReka consists of two 3D mini-games set in real-life environments, with a simple storyline and user-friendly graphics. The player can individualize their gaming experience, customizing some game options based on their preferences and needs. We developed a first game prototype that will be evaluated through a usability test. In future works, a specific study will be planned to assess possible benefits from training with UReka .",NULL,NULL
71,"Exploring Learning in Near-Field Communication-Based Serious Games in Children Diagnosed with ADHD","Attention deficit hyperactivity disorder (ADHD) is a common disorder, affecting more than 5% of children worldwide. This disorder includes symptoms such as hyperactivity, inattention, and impulsivity. Technological advances benefit the learning of this group of children, creating tools that strengthen their abilities and skills and support cognitive therapies. In particular, Serious Game (SG) are well-structured videogames to learning in entertainment settings. With the background, CIUDAD PUZZLE was designed with mini-puzzle games using Near Field Communication (NFC) technology. This SG allows for strengthening the treatment of 20 children from 7 to 10 years old diagnosed with ADHD. For experimentation, the childrens attention level was measured before and after using the SG, for which the Perception of differences test (faces-R) was used. As a result, a mean increase of 2.9 in the learning performance score was obtained. With this case study, it was possible to establish the improvement in the organization and completion of childrens school assignments, paying greater attention to the orders of their teachers and parents.",NULL,NULL
72,"Designing CBT-Rich Stories for Serious Games","Mental illness has a long history of being stigmatised in societies around the world. This stigma denies individuals who have a mental illness the opportunity to lead everyday lives and leaves them reluctant to seek professional help for their illness. A form of therapy called Cognitive Behavioural Therapy (CBT) has proven to be very effective for various mental health issues. Serious game-based storytelling is a form of digital game that aims to create a virtual environment where the player encounters and solves problems in the games world for purposes other than entertainment, for example health and education. The work reported in this paper addresses how CBT can be incorporated in serious games. It focuses on story analysis and offers an illustrative example and a set of guidelines for incorporating a CBT resilience model based on physical, mental, emotional, and social resilience activities into the games storyline.",NULL,NULL
73,"Factors Affecting Game-Based Learning Experience: The Case of Serious Games","The paper presents the results of a study in which the users experience when playing serious games (in terms of gaming and learning) was examined; in an effort to determine which factors contribute significantly to the above and how they are related. Two serious games were used (one 2D and one 3D) and the target group was 384 university students. A questionnaire was used for collecting data; consisting of ten open-ended questions. All questions urged participants to make suggestions for improving an equal number of factors which were hypothesized to shape the learning experience in serious games. A total of 2745 valid responses were thematically analyzed and quantified. The results indicated that the games were viewed as a form of digital learning material rather than as games. That is because two factors related to the serious facet of serious games; namely; feedback and the quality of the learning material; were the only ones which accumulated a significant number of responses; indicating them as being important for the games learning effectiveness. The findings highlighted the need for further research in this field; but they can also serve as the basis for the development of more comprehensive serious games evaluation methods.",NULL,NULL
74,"Using Indie Games to Inform Serious Mental Health Games Design","Mental health literacy (MHL) is an important 21 st Century skill. Good MHL can help to reduce barriers to help-seeking by equipping the public with the knowledge needed to help themselves or someone experiencing a mental illness. One Australian-based organization that does this through a training course is Mental Health First Aid (MHFA) Australia. There are many digital interventions that aim to achieve this goal and serious games are no exception. Serious games have been identified as ideal for developing 21 st Century skills, meaning MHL literacy is a promising candidate for serious games development. In fact, evidence suggest that serious games are effective as a tool for improving MHL. However, they often suffer from poor-quality game design, poor study design, high dropout rates, variability in studies and loss of motivation and engagement of players. This means that there are many challenges to consider when developing serious games. Here we describe our experiences in the development of a serious game prototype that utilizes the principles of MHFA. The aim of this development is to improve the confidence of players in delivering MHFA. Additionally, it aims to address the challenge of serious games quality by taking an artistic approach that combines narrative, aesthetics and mechanics using indie games for inspiration. There are many well-designed indie games that tell emotional and character driven stories of mental illness. They provide inspiration on the development of honest and relatable characters, which offer a positive representation of those experiencing a mental illness.",NULL,NULL
75,"Designing Analytic Serious Games: An Expert Affordance View on Privacy Decision-Making","With advancing digitalisation and the associated ubiquitous data processing, people face frequent privacy decisions. As personal data is often collected and processed in non-transparent ways, decision-making is tedious and regularly results in unthoughtful choices that resign privacy to comfort. Serious Games (SG) could be instrumentalised to raise awareness about privacy concerns and investigate how better privacy decisions can be encouraged. However, creating a SG that can research and promote better privacy choices while providing exciting gameplay requires carefully balanced game design. In this study, we interviewed 20 international experts in privacy, psychology, education, game studies, and interaction design to elicit design suggestions for analytic Serious Games that can be applied to research and improve privacy decision-making. With a mixed-method approach, we conducted a qualitative affordance analysis and quantified the findings to determine each expert groups perceptions of how to investigate and educate privacy decision-making with games while keeping an engaging experience for players. The findings suggest that privacy decision-making is best analysed by storytelling that extends to a real-world context and engages the player with curiosity. Decision-making investigation is suggested to either apply unobtrusive in-game monitoring with story-aligned character interrogation, switching to a meta-context or include personal data and devices from daily routines. Conclusively, design implications for analytic SG targeting privacy are synthesised from the experts suggestions.",NULL,NULL
76,"Serious Games for Sustainable Education in Emerging Countries: An Open-Source Pipeline and Methodology","Serious Games start playing an important role in education (Greitzer et al. in J. Educ. Resour. Comput. 7: 2-es, Greitzer, F.L., Kuchar, O.A., Huston, K.: Cognitive science implications for enhancing training effectiveness in a serious gaming context. J. Educ. Resour. Comput. 7(3), 2-es (2007). 10.1145/1281320.1281322). Video games have transformed how we spend our leisure time, and started to transform how we learn through serious games (Young et al. in Rev. Educ. Res. 82:6189, Young Mar. Rev. Educ. Res. 82:6189, 2012). Developed economies have used serious games in multiple domains like military, healthcare, or telecom to train workforce (Liarokapis and de Freitas in A Case Study of Augmented Reality Serious Games, IGI Global, Liarokapis, F., de Freitas, S. (eds.): A Case Study of Augmented Reality Serious Games. IGI Global (2010); Bellotti et al. in Adv. Hum.-Comput. Interact. 2013: 111, Bellotti, F., Kapralos, B., Lee, K., Moreno-Ger, P., Berta, R.: Assessment in and of serious games: an overview. Adv. Hum.-Comput. Interact. 2013, 111 (2013)). Serious games are used as an eLearning tool also to complement traditional education or for distance learning. Researchers have tested serious games in preschools and primary schools recently, and results proved efficiency (Papanastasiou et al. in Int. J. Emerg. Technol. Learn. 12:44, Papanastasiou et al. Int. J. Emerg. Technol. Learn. 12:44, 2017). Serious games bring additional training activities to the learning process (Zierer and Seel in SpringerPlus 1:15, Zierer and Seel Dec. SpringerPlus 1:15, 2012; Koper in Educational Technology Foundations of Electronic Learning Environments, p. 41, Koper, R.: Educational technology foundations of electronic learning environments, p. 41 (2015)) and train schoolchildren on applying knowledge. Training schoolchildren on applying knowledge makes education sustainable and is a challenge for teachers in some developing countries. Using serious games can help in this area. To create such serious games, we need a process and a set of methodologies able to manage the development process of such serious games. In this paper, we present a pipeline or a process and a methodology to develop serious games for sustainable education. This process is called Gaming and Learning Unified Process to engineer Software, or GLUPS.",NULL,NULL
77,"Experimenting with a Prototype Interactive Narrative Game to Improve Knowledge and Beliefs for the HPV Vaccine","Narratives can have a powerful impact on our health-related beliefs, attitudes, and behaviors. The human papillomavirus (HPV) vaccine can protect against human papillomavirus that leads to different types of cancers. However, HPV vaccination rates are low. This study explored the effectiveness of a narrative-based interactive game about the HPV vaccines as a method to communicate knowledge and perhaps create behavioral outcomes. We developed a serious storytelling game called Vaccination Vacation inspired by personal narratives of individuals who were impacted by the HPV. We tested the game using a randomized control study of 99 adult participants and compared the HPV knowledge and vaccine beliefs of the Gamer Group (who played the game, n=44) and the Reader group (who read a vaccine information sheet, n=55). We also evaluated the usability of the game. In addition to high usability, the interactive game slightly impacted the beliefs about the HPV vaccine over standard delivery of vaccine information, especially among those who never received the HPV vaccine. We also observed some gender-based differences in perception towards usability and the likelihood of frequently playing the game. A narrative-based game could bring positive changes to players HPV-related health beliefs. The combination of more comprehensive HPV vaccine information with the narratives may produce a larger impact. Narrative-based games can be effectively used in other vaccine education interventions and warrant future research.",NULL,NULL
78,"Towards anIntegration oftheMulti-role Dimension intheDesign ofLearning Games: aReview oftheLiterature","Serious Games (SG) have become popular and their efficiency has been proven in numerous domains throughout the years. You can find them for a plethora of subjects, in bountiful forms and consequently, to answer various needs. They are particularly efficient to reproduce concrete situations and to train on specific objectives. However, most of them are only designed for one player. One explanation might be their design that seems indeed more complex for multiplayer SG. This paper focuses on a certain type of multiplayer SG: those based on multi-role. Thus, this paper aims at drawing a state of the art of multi-role SG and their design, as a first step to propose a design model of multi-role SG.",NULL,NULL
79,"Designing Interactive Storytelling Games to Teach Computational Thinking","In the section of The Design of Everyday Things titled Moral Obligations of Design, Don Norman writes, Designers need to make things that satisfy peoples needs, in terms of function, in terms of being understandable and usable, and in terms of their ability to deliver emotional satisfaction, pride, and delight, (Norman, 293). This is equally true of doors, lessons, teapots, narratives, and games. And for some complex emerging objects, such as educational narrative games, designers must look at a synthesis of different object types to hypothesize heuristics and principles that will guide their design. Game designers rarely have extensive research on the design of their artifacts to analyze before they are asked to invent new combinations of mechanics, couple them with themes they did not create, and then test their efficacy for whatever the intended design goal of the game, be it education, entertainment, or training. Instead, designers often rely on anecdotal accounts of design of their genre of games, if they're fortunate, or on heuristics uncovered most often in other fields. In conversation with games studies and interactive storytelling scholars, I define these digital artifacts as games that use narratives generated in response to open text input from their players. For the emerging genre of interactive storytelling games the dearth of game design research and a lack of examples of fully functional games in the genre give designers little to start with. Though many in the field of interactive storytelling believe, for good reason, that these games have incredible educational potential, there are even fewer examples of such games to learn from, and practically no specific game design research on their creation. Such artifacts are the complex synthesis of generated narrative, a system open to a continuum of user input, and educational content that personalizes to the player to a high degree. Without proper design, these objects will fail to be understood, to satisfy their users needs, to function, and they will certainly fail to deliver pride, satisfaction, and delight. Without game design research, the proper design of such complicated artifacts will happen only by accident and will most likely be delayed, possibly indefinitely. In what seems at first like an odd coincidence, there is one field, computational thinking, where two effective prototypes of interactive storytelling educational games exist, and these, along with other case studies of mechanics and even science fiction, can guide the beginning of game design research into their creation. How can we design interactive storytelling systems in order to be effective at teaching computational thinking? While the industry process of iteration and design will be key, the costs of developing these systems, and the costs of designing them improperly, are too high not to attempt other formal approaches to researching their design. By following a game design research methodology and pursuing specific cases with the formal methods, this paper analyzes game design principles and hypotheses to produce knowledge about how to design these complex and potentially transformational objects. As Don Norman makes clear in The Design of Everyday Things, not only can design increase our enjoyment and understanding of those things around us, but design can be a life or death matter. The stakes may seem lower in game design; however, as James Paul Gee points out in his work on games and education, games are sites of identity formation and for learning their own unique semiotic domains (Gee). We need to design the powerful educational systems that will emerge from the synthesis of deep learning and natural language processes with care, so that we do not allow for stochastic identity formation in the players of these games. This paper is a research-based analysis of interactive storytelling systems and relevant games with relevant mechanics in order to address the question of how to design interactive storytelling games that teach computational thinking in an informal context. In addition to this analysis, this paper describes relevant research into narrative-centered learning, games-based learning, and informal learning. I will also analyze science fiction criticism alongside my game design research, and research into other fields, by adapting a methodology used in ubiquitous computing research that recognizes that, Design-oriented research is an act of collective imagininga way in which we work together to bring about a future that lies slightly out of our grasp, (Dourish and Bell, 769). In this way, I will expand upon and practice game design research methods as called for by Paul Coultan and Alan Hook, game design researchers at Lancaster University. Currently, even formal tools such as machinations.io and more formal texts on game mechanics such as Patterns In Game Design do not delve into thorough specific game design considerations around creating interactive storytelling systems as described by authors such as Chris Crawford, Brenda Laurel, and Janet Murray (Bjrk and Holopainen; Crawford; Laurel; Murray). Ultimately, this paper will provide insight into how game designers can design interactive storytelling systems in order to teach computational thinking in informal settings, in hopes that these lessons will apply to the emerging field of interactive storytelling design and their use in informal learning experiences.",NULL,NULL
80,"Using Board Games as a Method for Improving Awareness and Empathy in Inclusive Design: PUDCAD Game Case Study","The aim of this research is about how inclusive design can be taught to design students by introducing game design principles rather than traditional education methods. This study focuses on a smaller part of the project called PUDCAD (Practicing Universal Design Principles in Design Education through a CAD-Based Game), which aims to increase awareness and empathy of design students about design problems regarding people with disabilities. The project develops through 4 student workshops and three international conferences on Universal Design, Ergonomics, Game, and Education. This paper focuses on the third workshop held in Florence in Design Campus Firenze, specifically on the board game workshop process, excluding the held conferences. In the workshop, Design students were asked to work in groups and given a task to create a board game based on inclusive design principles and elaborate on game mechanics regarding inclusive design. Later they are given an open-ended questionnaire about how they found it and how they would implement the mechanics to an educational video game. Final board game outputs are then taken to a comparison chart to define the mechanics and reveal the similarities and differences. Then the results are compared to develop a video game for PUDCAD for the fourth workshop in the alpha stage for further studies. Questions and the workshop methods are then revised for the next student workshop. This research is hoped to inform game designers and teachers to find the most efficient method to educate and have a better understanding of inclusive design principles.",NULL,NULL
81,"Between Game Mechanics and Immersive Storytelling: Design Using an Extended Activity Theory Framework","This paper outlines the latest work of an on-going long-term sustained research effort to extend and operationalise Leontievs original hierarchical activity theory framework to model and support the design, development and analysis of games, virtual environments and virtual reality for purpose. While previous work extended Leontievs activity theory to incorporate both task-based and experiential-based activities and actions performed within a sphere of engagement - corresponding to Huizingas play-grounds, arenas and magic circle, and mechanism to analyse and assess the success of purpose, the focus of this earlier work was largely on narrative, scenario and story-based activities, and didnt capture or extend well to gameplay mechanics. The framework described herein describes initial work that builds on and extends earlier work to provide a tool, notation, grammar and building blocks that informs both HCI and practice-based approaches to represent gameplay mechanics and narrative, scenario, story-based activities; from game design concepts and ideas, through modelling and analysis, to informing implementation, development and creative practice. The framework is intended to support all delivery platforms and extend to all purposes/sectors (education, health, esports, business, documentary, tourism, social impact, culture, etc.) across the serious games continuum: from games for purpose to experiential environments for purpose. To highlight the versatility of the initial work to extend the activity theory framework, described herein are several examples of serious games, interactive storytelling and immersive VR for purpose developed in research projects, and in the professional immersive storytelling content creation Singapore-based studio Warrior9 VR.",NULL,NULL
82,"Novel Technologies in Upper Extremity Rehabilitation","Structured and sufficient training is a key factor for successful fitting of an upper limb prosthesis. This is especially true for more advanced myoelectric control strategies, or for individuals with comorbidities that require additional treatment. With advances in technology, not only have the control strategies become more complex, but also possibilities for more tailored rehabilitation have increased. Novel rehabilitation technologies include virtual and augmented reality systems, as well as training systems relying on computers and smartphone apps. These technologies can be used within the clinical setting, enable telerehabilitation, and/or can support unsupervised home training. While most experts agree that novel rehabilitation technologies can be a good supplement for conventional therapy, one of the greatest challenges is to transfer the progress achieved in the technology-assisted realm into real-world situations and actual prosthetic function.",NULL,NULL
